RID,SID,NAME,SCIENTNAME,FAOSTAT,FAO_Code,FAO_Code2,FAO_Code3,crop,food,fiber,fodder,forestry,industry,plant,comms
163,163,Myrtle,Myrtus communis L.,TRUE,558,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
169,169,Heartnut,Juglans sieboldiana,TRUE,222,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
209,209,China tea,Camellia sinensis v sinens.,TRUE,667,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
211,211,Canary grass,Phalaris canariensis L.,TRUE,101,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
213,1,Sugar beet,Beta vulgaris L. v vulgaris,TRUE,157,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
219,219,"Wheat, common",Triticum aestivum L.,TRUE,15,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
220,220,Swede rap,Brassica napus L.,TRUE,270,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_code is for canola
221,221,Chinese cabbage,Brassica chinensis L.,TRUE,358,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
223,223,Barley,Hordeum vulgare L.,TRUE,44,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
224,224,Oats,Avena sativa L.,TRUE,75,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
225,225,Cabbage,Brassica oleracea L.v capi.,TRUE,358,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
226,226,Lentil,Lens culinaris Medikus,TRUE,201,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
227,227,Linseed,Linum usitatissimum L.,TRUE,333,771,773,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FAO_Codes 771 and 773 refers to fiber production
232,232,Watercress,Nasturtium officinale R.Br.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
233,233,Jojoba,Simmondsia chinensis Link.,TRUE,277,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
237,237,"Cherry, Sweet",Prunus avium L.,TRUE,531,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
242,242,Coconut,Cocos nucifera L.,TRUE,249,813,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 813 refers to fiber production
243,243,Banana,Musa acuminata Colla,TRUE,486,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,most cultivated bananas and plantains are hybrids of acuminata and balbisiana (or acuminata)
244,244,Tomato,Lycopersicon esculentum M.,TRUE,388,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
245,245,Sweet orange,Citrus sinensis (L.) Osbeck,TRUE,490,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
246,246,Apple,Malus sylvestris Mill.,TRUE,515,542,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 542 isn't specific.
247,247,Groundnut,Arachis hypogaea L.,TRUE,242,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
248,248,Cacao,Theobroma cacao L.,TRUE,661,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
249,249,African oil palm,Elaeis guineensis Jacq.,TRUE,254,257,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
251,251,"Pepper, black or white",Piper nigrum L.,TRUE,687,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
253,253,"Olive, Europaen",Olea europaea L.,TRUE,260,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
254,254,Safflower,Carthamus tinctoius L.,TRUE,280,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
255,255,Watermelon,Citrullus lanatus (T) Mansf,TRUE,567,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
256,256,Cucumber,Cucumis sativus L.,TRUE,397,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
257,257,Squash gourd,Cucurbita maxima Duch ex L.,TRUE,394,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
258,258,Broad bean,Vicia faba L.,TRUE,181,420,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
259,259,Mango,Mangifera indica L.,TRUE,571,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
260,260,Papaya,Carica papaya L.,TRUE,600,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
261,261,Cashew,Anacardium occidentale L.,TRUE,217,591,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
262,262,Eggplant,Solanum melongena L.,TRUE,399,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
263,263,Musk melon,Cucumis melo L.,TRUE,568,299,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
267,267,Apricot,Prunus armeniaca L.,TRUE,526,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
268,268,Peach,Prunus persica (L.) Batsch,TRUE,534,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
269,269,Plum,Prunus domestica L.,TRUE,536,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
270,270,Lychee,Litchi chinensis Sonn.,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"the """"litchi"""" listed in FAO is Nephelium litchi, but probably refers to this species as this is the most common Lychee."
273,225,Brussels sprouts,Brassica oleracea L.v gemm.,TRUE,358,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
274,225,Cauliflower,Brassica oleracea L.v botr.,TRUE,393,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
275,225,Collards,Brassica oleracea L.v acep.,TRUE,358,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
276,225,Kohlrabi,Brassica oleracea L.v gong.,TRUE,358,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
