filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p
currant,"",currant,Currants,550,Monf,"",Fruit,129370.121868652,258066,118945.917865598,99429,0.919423404318672,0.385285159610332
date,"",date,Dates,577,Monf,"",Fruit,811053.319686737,176208,439414.165981204,85112,0.541782094117961,0.483020067193317
eggplant,"",eggplant,Eggplants (aubergines),399,Monf,"",Vegetables&Melons,1419045.94228933,376568,1159530.03195348,220790,0.817119444408421,0.586321726753203
fibrenes,"",fibrenes,Fibre Crops Nes,821,Monf,"",Fiber,302203.472221681,266452,20697.1431617374,16189,0.0684874432764789,0.0607576599162326
fig,"",fig,Figs,569,Monf,"",Fruit,384637.561005303,289145,187588.246989432,48500,0.487701321990354,0.16773591104809
flax,"",flax,Flax fibre and tow,773,Monf,"",Fiber,457035.238547192,206681,324427.462225847,60017,0.709852183952218,0.290384699125706
fonio,"",fonio,Fonio,94,Monf,"",Cereals,223037.323263072,386319,222864.883872096,12093,0.999226858588271,0.0313031458457907
fruitnes,"",fruitnes,Fresh Nes Fruit,619,Monf,"",Fruit,3201922.83089081,672713,1891073.32211166,368916,0.590605527362303,0.548400283627639
garlic,"",garlic,Garlic,406,Monf,"",Vegetables&Melons,1019288.16949857,498487,869659.903569851,304118,0.853203176092657,0.610082108460201
ginger,"",ginger,Ginger,720,Monf,"",OtherCrops,303857.155843706,337980,78452.4551922875,62592,0.258188605018868,0.185194390200604
gooseberry,"",gooseberry,Gooseberries,549,Monf,"",Fruit,32347.9150690282,362109,30814.9882291658,75729,0.95261126299512,0.20913316156185
grape,"",grape,Grapes,560,Monf,"",Fruit,6927410.02965092,509929,6012629.24677464,336884,0.867947648693985,0.660648835426108
grapefruitetc,"",grapefruitetc,Grapefruit (inc. pomelos),507,Monf,"",Fruit,245654.443952247,431149,158118.235031111,101004,0.64366120346615,0.234267039932831
greenbean,"",greenbean,"Beans, green",414,Monf,"",Vegetables&Melons,810179.373914174,487527,599000.062744489,247480,0.739342523434747,0.507623167537388
greenbroadbean,"",greenbroadbean,"Leguminous vegetables, nes",420,Monf,"",Vegetables&Melons,162450.805086699,317444,82297.5976645285,111522,0.506600121929877,0.351312357455173
greencorn,"",greencorn,"Maize, green",446,Monf,"",Vegetables&Melons,998407.070761563,343467,699579.783179018,142356,0.700695942232654,0.414467765462184
greenonion,"",greenonion,"Onions (inc. shallots), green",402,Monf,"",Vegetables&Melons,209711.172278279,249150,126846.131839003,112195,0.604861107116808,0.450311057595826
greenpea,"",greenpea,"Peas, green",417,Monf,"",Vegetables&Melons,982318.087189369,522656,612184.997890725,262186,0.62320444454232,0.501641615135003
grou,grou,"","groundnut, with shell",242,SPAM,groundnut,oilcrops,24373558.3985486,259864,24373558.3985486,259864,1,1
gums,"",gums,Gums Natural,839,Monf,"",OtherCrops,9.66662306874314e-15,396051,0,0,0,0
hazelnut,"",hazelnut,"Hazelnuts, with shell",225,Monf,"",Treenuts,482920.414313434,290325,362930.765424557,76910,0.75153328512843,0.264910014638767
