crop,Monf_Name,source,SPAM_Name,SPAM_Code,FAO_Name,FAO_Code,GROUP
maizefor,maizefor,Monf,rest of crops,rest,maizefor,636,Forage
sorghumfor,sorghumfor,Monf,rest of crops,rest,sorghumfor,637,Forage
ryefor,ryefor,Monf,rest of crops,rest,ryefor,638,Forage
grassnes,grassnes,Monf,rest of crops,rest,grassnes,639,Forage
clover,clover,Monf,rest of crops,rest,clover,640,Forage
alfalfa,alfalfa,Monf,rest of crops,rest,alfalfa,641,Forage
legumenes,legumenes,Monf,rest of crops,rest,legumenes,643,Forage
cabbagefor,cabbagefor,Monf,rest of crops,rest,cabbagefor,644,Forage
turnipfor,turnipfor,Monf,rest of crops,rest,turnipfor,646,Forage
beetfor,beetfor,Monf,rest of crops,rest,beetfor,647,Forage
carrotfor,carrotfor,Monf,rest of crops,rest,carrotfor,648,Forage
swedefor,swedefor,Monf,rest of crops,rest,swedefor,649,Forage
mate,mate,Monf,rest of crops,rest,mate,671,OtherCrops
hop,hop,Monf,rest of crops,rest,Hops,677,OtherCrops
pepper,pepper,Monf,rest of crops,rest,Pepper (Piper spp.),687,OtherCrops
pimento,pimento,Monf,rest of crops,rest,"Chillies and peppers, dry",689,OtherCrops
vanilla,vanilla,Monf,rest of crops,rest,Vanilla,692,OtherCrops
cinnamon,cinnamon,Monf,rest of crops,rest,Cinnamon (canella),693,OtherCrops
clove,clove,Monf,rest of crops,rest,Cloves,698,OtherCrops
nutmeg,nutmeg,Monf,rest of crops,rest,"Nutmeg, mace and cardamoms",702,OtherCrops
aniseetc,aniseetc,Monf,rest of crops,rest,"Anise, badian, fennel, corian",711,OtherCrops
ginger,ginger,Monf,rest of crops,rest,Ginger,720,OtherCrops
spicenes,spicenes,Monf,rest of crops,rest,"Spices, nes",723,OtherCrops
peppermint,peppermint,Monf,rest of crops,rest,Peppermint,748,OtherCrops
pyrethrum,pyrethrum,Monf,rest of crops,rest,"Pyrethrum,Dried",754,OtherCrops
rubber,rubber,Monf,rest of crops,rest,Natural rubber,836,OtherCrops
gums,gums,Monf,rest of crops,rest,Gums Natural,839,OtherCrops
mixedgrass,mixedgrass,Monf,rest of crops,rest,mixedgrass,639,Forage
orange,orange,Monf,temperate fruit,temf,Oranges,490,Fruit
tangetc,tangetc,Monf,temperate fruit,temf,"Tangerines, mandarins, clem.",495,Fruit
lemonlime,lemonlime,Monf,temperate fruit,temf,Lemons and limes,497,Fruit
grapefruitetc,grapefruitetc,Monf,temperate fruit,temf,Grapefruit (inc. pomelos),507,Fruit
citrusnes,citrusnes,Monf,temperate fruit,temf,"Citrus fruit, nes",512,Fruit
apple,apple,Monf,temperate fruit,temf,Apples,515,Fruit
pear,pear,Monf,temperate fruit,temf,Pears,521,Fruit
quince,quince,Monf,temperate fruit,temf,Quinces,523,Fruit
apricot,apricot,Monf,temperate fruit,temf,Apricots,526,Fruit
sourcherry,sourcherry,Monf,temperate fruit,temf,Sour cherries,530,Fruit
cherry,cherry,Monf,temperate fruit,temf,Cherries,531,Fruit
peachetc,peachetc,Monf,temperate fruit,temf,Peaches and nectarines,534,Fruit
plum,plum,Monf,temperate fruit,temf,Plums and sloes,536,Fruit
stonefruitnes,stonefruitnes,Monf,temperate fruit,temf,"Stone fruit, nes",541,Fruit
strawberry,strawberry,Monf,temperate fruit,temf,Strawberries,544,Fruit
rasberry,rasberry,Monf,temperate fruit,temf,Raspberries,547,Fruit
gooseberry,gooseberry,Monf,temperate fruit,temf,Gooseberries,549,Fruit
currant,currant,Monf,temperate fruit,temf,Currants,550,Fruit
blueberry,blueberry,Monf,temperate fruit,temf,Blueberries,552,Fruit
cranberry,cranberry,Monf,temperate fruit,temf,Cranberries,554,Fruit
berrynes,berrynes,Monf,temperate fruit,temf,Berries Nes,558,Fruit
grape,grape,Monf,temperate fruit,temf,Grapes,560,Fruit
kiwi,kiwi,Monf,temperate fruit,temf,Kiwi fruit,592,Fruit
